epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8459,1.59547,5.0175,1.1522,0.0035,1,0.00671,0.00378,1.22787,4.40963,1.01397,0.00034,0.00034,0.00034
2,49.133,1.32931,3.26449,1.01366,0.0035,1,0.00584,0.00303,1.21739,4.23768,1.04065,0.00068614,0.00068614,0.00068614
3,60.486,1.40514,2.85973,1.07917,0.00309,0.88372,0.00462,0.00236,1.29069,4.40692,1.18137,0.00101802,0.00101802,0.00101802
4,70.8731,1.29815,2.77276,1.07807,0.00317,0.90698,0.07333,0.04563,1.28329,4.03569,1.19218,0.00133565,0.00133565,0.00133565
5,80.3047,1.35652,2.75899,1.14904,0.00268,0.76744,0.0163,0.01183,1.36248,4.11024,1.183,0.00163902,0.00163902,0.00163902
6,91.2369,1.31459,2.8575,1.09455,0.54247,0.4186,0.4602,0.30597,1.28856,3.1538,1.21494,0.001802,0.001802,0.001802
7,102.556,1.24528,2.49057,1.10109,0.64542,0.4186,0.51144,0.33511,1.38302,3.00002,1.28012,0.0017624,0.0017624,0.0017624
8,113.878,1.17854,2.30784,1.04475,0.54247,0.69767,0.62168,0.43298,1.15068,2.43153,1.13287,0.0017228,0.0017228,0.0017228
9,127.413,1.25747,2.23587,1.07262,0.70319,0.49603,0.60048,0.39082,1.28494,2.53385,1.23616,0.0016832,0.0016832,0.0016832
10,141.883,1.2798,2.15275,1.06774,0.57712,0.53488,0.54512,0.37271,1.20424,2.28703,1.18411,0.0016436,0.0016436,0.0016436
11,158.225,1.20826,2.15322,1.08827,0.46511,0.81395,0.54068,0.35683,1.26215,2.23667,1.21762,0.001604,0.001604,0.001604
12,172.867,1.24697,2.14373,1.10038,0.47887,0.72093,0.50141,0.33376,1.22684,2.23042,1.2273,0.0015644,0.0015644,0.0015644
13,186.985,1.05162,1.72452,0.96141,0.53768,0.81143,0.55731,0.35272,1.2402,1.9808,1.20996,0.0015248,0.0015248,0.0015248
14,202.657,1.23438,1.85737,1.07411,0.44849,0.7907,0.46054,0.29357,1.17924,2.22593,1.19477,0.0014852,0.0014852,0.0014852
15,218.675,1.18763,1.79421,1.01305,0.43503,0.81395,0.44375,0.26187,1.2515,1.99345,1.23881,0.0014456,0.0014456,0.0014456
16,237.482,1.10576,1.76387,1.05994,0.4625,0.83721,0.45448,0.29144,1.17634,1.8696,1.20956,0.001406,0.001406,0.001406
17,254.29,1.21169,1.70293,1.04485,0.46674,0.74419,0.48839,0.30282,1.22573,2.06752,1.23752,0.0013664,0.0013664,0.0013664
18,269.904,1.07581,1.65169,1.03197,0.48108,0.72093,0.42734,0.29079,1.18612,1.85085,1.17523,0.0013268,0.0013268,0.0013268
19,288.127,1.14336,1.69139,1.08364,0.45459,0.77541,0.41976,0.2977,1.18184,1.91941,1.19499,0.0012872,0.0012872,0.0012872
20,307.201,1.06911,1.64873,0.99589,0.44325,0.62953,0.31333,0.20317,1.30041,1.97573,1.30308,0.0012476,0.0012476,0.0012476
21,326.905,1.06459,1.57278,0.99977,0.40364,0.5814,0.32918,0.22488,1.17858,1.8792,1.19705,0.001208,0.001208,0.001208
22,348.123,1.01672,1.47506,1.00896,0.66933,0.53488,0.52047,0.35834,1.10228,1.50337,1.13513,0.0011684,0.0011684,0.0011684
23,370.472,1.04964,1.52266,0.99137,0.56635,0.55814,0.51374,0.34804,1.09003,1.58381,1.15284,0.0011288,0.0011288,0.0011288
24,395.285,1.02112,1.47121,1.00311,0.4982,0.51163,0.38627,0.26709,1.1383,1.69641,1.17185,0.0010892,0.0010892,0.0010892
25,422.923,1.01233,1.40751,0.99438,0.48526,0.5814,0.4064,0.30454,1.07169,1.59864,1.1325,0.0010496,0.0010496,0.0010496
26,451.596,1.01447,1.57576,0.9701,0.58394,0.58762,0.42289,0.31254,1.1134,1.56664,1.16316,0.00101,0.00101,0.00101
27,475.184,1.08986,1.45433,0.99532,0.51505,0.5929,0.44379,0.31764,1.10653,1.54749,1.15213,0.0009704,0.0009704,0.0009704
